;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023
Art des Gutes;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern
Einheit;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t
  Spalt- und Brutstoffe;83894;183890;8770;87314;2398;24101;3443;13771;2226;6185;-;-;-;-;-;-;-;-;-;-
Sonst. Mineralerzeugnisse (Glas,Zement,Gips etc.);2924933;3880461;2811975;3579484;2094661;3235500;2315731;3309739;1794488;2906103;1754498;2641339;1346429;2153772;1795045;2412614;1594488;1976677;1304210;2279072
  Glas und Glaswaren, Porzellan und keramische Erz.;1410836;953139;1247175;689361;1157989;565183;1073044;595575;916607;550388;718334;478129;566752;438548;828458;619960;766741;465213;678795;539711
  Zement, Kalk, gebrannter Gips;516890;2177498;469905;2287611;121814;2349000;224239;2323584;111394;2058408;120591;1844155;136321;1333397;219708;1302820;214735;1084058;92519;1293670
  Sonstige Baumaterialien und -erzeugnisse;997207;749824;1094895;602512;814858;321317;1018448;390580;766487;297307;915574;319056;643356;381827;746879;489834;613012;427406;532896;445691
Metalle und Metallerzeugnisse;5850345;11963433;6300478;10445702;5418239;6017524;5990989;6240930;5355930;6244611;4475112;6182126;3152583;4873590;4400800;5708453;4321321;4909360;4135928;5391752
  Roheisen und Stahl, Ferrolegierungen u.Ä.;2287749;7607255;2808526;7011594;2598421;4351584;2892526;4471685;2590801;4306943;1895930;4248006;1174677;3207590;1656305;3741686;1597598;3201506;1627996;3369906
  NE-Metalle und Halbzeug daraus;1276915;1204562;1070723;877576;900395;720136;821417;631856;747243;414821;568818;561248;445078;509979;536344;553422;579097;415319;593174;342522
  Rohre,Hohlprofile,Rohrform-,Rohrverschlussst.u.Ä.;393475;353966;203124;349878;155473;314509;177506;414650;196555;274650;153046;411093;101819;400549;128613;440068;135691;435600;182377;888177
  Stahl- und Leichtmetallbauerzeugnisse;161693;1390579;132323;1285102;69786;57842;200036;52963;115763;617280;312785;196146;309489;130017;401686;218222;300390;159782;226530;244137
  Heizkessel, Waffen und sonstige Metallerzeugnisse;1730513;1407071;2085782;921552;1694164;573453;1899504;669776;1705568;630917;1544533;765633;1121520;625455;1677852;755055;1708544;697153;1505850;547010
Maschinen und Ausrüstungen, Haushaltsgeräte etc.;6537913;7927460;7466477;7816004;5848597;5536951;6611336;5037705;7442544;5864399;4249922;2545891;3217629;2084193;5162020;2515314;5199467;2427406;5401251;3097485
  Land- und forstwirtschaftliche Maschinen;345501;249896;203948;183085;170470;114196;205219;131143;137741;91981;104284;128075;84672;93495;135640;97815;141560;109294;118288;118694
  Haushaltsgeräte a.n.g. (Weiße Ware);475118;429538;291143;238416;299814;149439;375930;184374;427446;162958;518497;215061;387290;180228;692069;249360;585752;220081;652426;279842
  Büromaschinen, DV-Geräte und -einrichtungen;347090;351193;150214;225824;135203;71033;125031;52359;103782;24265;107043;10623;72417;9455;105768;13418;88575;9100;110633;19314
  Geräte der Elektrizitätserz. und -verteilung u.Ä.;1411672;1562329;1060333;1090013;757644;539733;753208;420282;922104;401718;1110422;645786;851879;627092;1331536;663476;1373449;624555;1514201;745072
  Elektron.Bauelem.,Ausstrahlungs-u.Übertragungsger.;359092;350958;165345;211925;214122;151214;171729;107920;162120;57556;233823;17125;168146;15341;244243;36080;354790;29684;382474;143205
  Rundfunk- und Fernsehgeräte u.Ä.;327652;198707;114516;110722;106509;48501;110544;35469;112324;17144;125632;6896;81867;11041;125203;12939;97577;6956;111663;7451
  Med.-,mess-,steuer-,regelungstech.,opt.Erz., Uhren;276412;474919;85711;212307;81075;74130;103450;62909;136540;50655;178782;55707;134036;67831;190259;60081;178696;57475;214164;78566
  Sonst. Maschinen, Werkzeugmaschinen u.Teile dafür;2995376;4309920;5395267;5543712;4083760;4388705;4766225;4043249;5440487;5058122;1871439;1466618;1437322;1079710;2337302;1382145;2379068;1370261;2297402;1705341
Fahrzeuge;4243252;8069571;3681741;7699198;3251645;6981905;3655458;7767431;3914696;7948274;3968627;7360557;3057695;5641104;3463703;5609426;3645666;5628791;3827984;5853706
  Erzeugnisse der Automobilindustrie;3712583;7655757;3409062;7430389;3014428;6795920;3354238;7511189;3503294;7667705;3324741;6833510;2527780;5168918;2864492;5272273;3134316;5365158;3231632;5537752
  Sonstige Fahrzeuge;530669;413814;272679;268809;237217;185985;301220;256242;411402;280569;643887;527047;529915;472186;599211;337153;511350;263633;596352;315954
Möbel, Schmuck, Musikinstrumente, Sportgeräte etc.;2823811;2140485;2335406;1674487;1534916;926982;1388626;692401;1358486;779500;1343243;939451;1028095;932712;1657759;846235;1307103;799082;1363076;844176
  Möbel;1075088;852763;854807;756651;556611;432881;585845;284782;606567;479822;728726;761904;579013;761806;848451;656928;673769;659339;726686;699965
  Sonstige Erzeugnisse;1748723;1287722;1480599;917836;978305;494101;802781;407619;751919;299678;614517;177547;449083;170907;809308;189307;633334;139743;636390;144212
Sekundärrohstoffe, Abfälle;3113674;2940431;2953739;2812454;2765559;2267568;1511668;2548790;992209;2413111;1276079;2221227;1459423;1983339;1751727;1810241;1642428;1811910;1045099;1600733
  Hausmüll und kommunale Abfälle;1498;438;110;8;367;119;91;1599;19;2068;2706;6773;2914;6803;6278;2817;121053;4440;134798;3244
  Sonstige Abfälle und Sekundärrohstoffe;3112176;2939993;2953629;2812446;2765192;2267449;1511577;2547191;992190;2411043;1273373;2214453;1456509;1976536;1745449;1807424;1521375;1807470;910301;1597489
Post, Pakete;6328;6693;783;860;855;193;1517;256;430;135;-;-;-;-;-;-;-;-;-;-
  Post;6158;6443;723;837;807;160;869;137;232;9;-;-;-;-;-;-;-;-;-;-
  Pakete, Päckchen;170;250;60;23;48;33;648;119;198;126;-;-;-;-;-;-;-;-;-;-
Geräte und Material für die Güterbeförderung;119641;105715;97489;88933;42124;52912;45075;37544;61142;36005;47355;47354;37539;37539;34952;35816;54204;55496;34799;37436
